Number,Mark,Grade,Gender,Age,PO,FFS,Fsupport,PocketMoney,Feeding,Distance,NegativeIH,QualityTeacher,TStR,NRoll, PVC,CondC,DYESM,SH,HODYDH,DYMS,ALM,ExtC,ExtraCA,Activity, NIOA
32,21,6,0,1,Baker,M,Good,6-10 cedis,3,very Close,No,Excellent,Excellent,54,Yes,Yes,Yes,2 hours and above,Regularly,Not at all,Yes,Yes,Yes,Sports,No
33,21,6,1,1,Herbalist,M,Fair,2-5 cedis,2,Far,No,Excellent,Good,60,Yes,Yes,Yes,1 hour,Not at all,Sometimes,Yes,No,Yes,Sports,No
34,21,6,0,2,Teacher,high,Good,6-10 cedis,3,Close,No,Average,Excellent,56,No,Maybe,Yes,1 hour,Regularly,Not at all,No,No,No,,
35,21,6,0,2,Dress maker,high,Good,11 cedis and above,3,Far,Yes,Average,Good,56,No,Maybe,Yes,1 hour,Regularly,Not at all,No,No,No,,
36,22,6,0,1,Carpenter,M,Good,2-5 cedis,2,Far,Yes,Average,Good,58,No,Yes,Maybe,1 hour,Regularly,Sometimes,No,No,No,,
37,22,6,1,1,Trader,M,Good,2-5 cedis,1,Far,No,Average,Excellent,59,Yes,Yes,Yes,1 hour,Regularly,Sometimes,No,No,Yes,Sports,Yes
38,22,6,1,1,Trader,M,Good,2-5 cedis,1,Far,No,Excellent,Excellent,59,Yes,Yes,Yes,1 hour,Regularly,Sometimes,No,No,Yes,Sports,Yes
39,22,6,1,1,Trader,M,Good,11 cedis and above,3,Far,No,Average,Excellent,62,Yes,Yes,Yes,less than an hour,Regularly,Not at all,Yes,No,No,,
40,22,6,1,1,Farmer,Low,Poor,2-5 cedis,2,Close,Maybe,Excellent,Good,62,Yes,Maybe,Yes,1 hour,Regularly,Not at all,Yes,Yes,No,,
41,22,6,0,1,Trader,M,Good,6-10 cedis,2,very Far,Yes,Excellent,Average,60,Yes,Yes,No,less than an hour,Not at all,Sometimes,No,No,Yes,Sports,No
42,22,6,0,1,Teacher,M,Good,6-10 cedis,3,Far,Yes,Average,Good,54,No,No,Yes,1 hour,Regularly,Not at all,Yes,Yes,Yes,Sports,Yes
43,24,6,0,1,Teacher,M,Good,6-10 cedis,3,Far,Yes,Excellent,Excellent,60,No,No,No,less than an hour,Not at all,Sometimes,No,Yes,Yes,Sports,Yes
44,24,6,1,1,Doctor,M,Fair,6-10 cedis,1,very Far,Yes,Average,Average,65,Maybe,Maybe,Maybe,1 hour,Regularly,Often,No,No,No,,
45,24,6,1,1,Trader,M,Good,6-10 cedis,2,Far,No,Excellent,Good,25,Yes,Yes,Yes,1 hour,Regularly,Not at all,Yes,No,No,,
46,24,6,0,1,Teacher,M,Good,11 cedis and above,3,Close,Yes,Average,Good,25,Yes,Yes,Yes,less than an hour,Regularly,Sometimes,Yes,Yes,No,,
47,24,6,1,1,Trader,M,Good,6-10 cedis,3,Far,No,Excellent,Excellent,25,Yes,Yes,Yes,2 hours and above,Regularly,Sometimes,Yes,Yes,No,,
48,25,6,0,2,Teacher,M,Good,6-10 cedis,3,Far,No,Excellent,Excellent,25,Maybe,Yes,Yes,1 hour,Regularly,Not at all,Yes,No,No,,
49,25,6,1,1,Trader,M,Good,6-10 cedis,2,Far,No,Excellent,Excellent,25,Yes,Yes,Yes,1 hour,Regularly,Not at all,Yes,No,No,,
50,25,6,0,1,Banker,M,Fair,6-10 cedis,3,Far,No,Average,Good,25,Yes,Maybe,Yes,1 hour,Regularly,Not at all,Yes,Yes,No,,
51,25,6,0,2,Pastor,high,Fair,6-10 cedis,3,very Close,No,Poor,Excellent,25,Yes,Maybe,Maybe,less than an hour,Regularly,Often,Yes,No,Yes,Sports,Yes
52,25,6,0,1,Pharmacist,M,Good,11 cedis and above,3,Close,No,Excellent,Good,25,Yes,Yes,Yes,1 hour,Regularly,Not at all,Yes,No,Yes,Quiz competition,Yes
53,25,6,1,2,Land Surveyor,M,Good,11 cedis and above,3,Far,No,Excellent,Excellent,25,Yes,Yes,Yes,1 hour,Regularly,Sometimes,Yes,No,Yes,Sports,No
54,25,6,0,2,Pharmacist,M,Good,11 cedis and above,3,Close,No,Excellent,Excellent,25,Yes,Yes,Yes,2 hours and above,Regularly,Not at all,Yes,Yes,No,,
55,26,6,1,1,Trader,M,Good,11 cedis and above,2,Far,No,Poor,Poor,25,No,No,No,1 hour,Irregularly,Sometimes,Yes,Yes,Yes,computer Coding,No
56,26,6,1,2,Teacher,M,Good,6-10 cedis,2,Far,Maybe,Average,Average,25,Yes,Yes,Yes,1 hour,Irregularly,Sometimes,No,Yes,No,,
57,26,6,0,2,Trader,Low,Fair,2-5 cedis,2,Close,No,Average,Average,25,Yes,Yes,Yes,less than an hour,Irregularly,Sometimes,Yes,No,No,,
58,26,6,0,1,Lecturer,high,Good,11 cedis and above,3,Far,No,Excellent,Good,25,Yes,Yes,Yes,1 hour,Regularly,Sometimes,Yes,No,No,,
59,26,6,0,1,Trader,high,Good,11 cedis and above,3,Far,No,Excellent,Good,25,Yes,Yes,Yes,1 hour,Regularly,Sometimes,Yes,Yes,No,,
60,26,6,0,2,Teacher,high,Fair,6-10 cedis,2,Far,Maybe,Excellent,Poor,25,Maybe,Maybe,Yes,2 hours and above,Regularly,Not at all,Yes,No,No,,
61,26,6,1,2,Banker,high,Good,6-10 cedis,3,Far,No,Excellent,Excellent,26,Yes,Yes,Yes,less than an hour,Regularly,Not at all,Yes,Yes,No,,
62,26,6,1,2,Cyber Security Analyst,M,Good,11 cedis and above,3,very Far,No,Average,Excellent,26,Maybe,Yes,Yes,less than an hour,Regularly,Sometimes,Yes,No,No,,
63,26,6,0,1,Technician,high,Good,11 cedis and above,3,Far,No,Excellent,Excellent,25,Yes,Yes,Yes,1 hour,Regularly,Not at all,Yes,Yes,No,,
64,26,6,1,1,Auditor,high,Good,6-10 cedis,3,Far,No,Average,Excellent,26,Maybe,Maybe,No,2 hours and above,Regularly,Not at all,Yes,Yes,No,,
65,27,6,0,1,Teacher,M,Good,2-5 cedis,3,Close,No,Average,Good,26,Yes,Yes,Maybe,2 hours and above,Regularly,Not at all,Yes,Yes,No,,
66,27,6,0,1,Pastor,M,Good,6-10 cedis,3,Far,No,Average,Good,26,Yes,Yes,No,2 hours and above,Regularly,Not at all,Yes,Yes,No,,
67,27,6,1,2,Chief Registrar,high,Good,2-5 cedis,3,Close,No,Average,Good,26,Yes,Yes,Yes,2 hours and above,Regularly,Not at all,Yes,Yes,No,,
68,28,6,0,1,Trader,M,Good,11 cedis and above,3,Far,No,Average,Excellent,26,Yes,Maybe,Yes,less than an hour,Regularly,Sometimes,Yes,Yes,No,,
69,28,6,1,1,Teacher,M,Poor,11 cedis and above,3,very Far,Maybe,Excellent,Excellent,26,Yes,Yes,Yes,less than an hour,Irregularly,Sometimes,Yes,Yes,No,,
70,28,6,1,2,Technician,M,Fair,6-10 cedis,2,Close,No,Average,Excellent,26,Yes,Yes,Yes,1 hour,Regularly,Not at all,Yes,No,No,,
71,28,6,0,2,Secretary,high,Good,6-10 cedis,3,Close,No,Average,Excellent,26,Yes,Yes,Yes,2 hours and above,Regularly,Not at all,Yes,Yes,No,,
